1000;1036
1066;1102
1132;1168
1198;1234
1264;1300
1330;1366
1396;1432
1462;1498
1528;1564
1594;1630
1660;1696
1726;1762
1792;1828
1858;1894
1924;1960
1990;2026
2055;2091
2121;2157
2187;2223
2253;2289
2319;2355
2385;2421
2451;2487
2517;2553
2583;2619
2649;2685
2715;2751
2781;2817
2847;2883
2913;2949
2979;3015
3045;3081
3111;3147
3177;3213
3243;3279
3309;3345
3375;3411
3441;3477
3507;3543
3573;3609
3639;3675
3705;3741
3771;3807
3837;3873
3903;3939
3969;4005
4035;4071
4101;4137
4167;4203
4233;4269
4299;4335
4365;4401
4431;4467
4497;4533
4563;4599
4629;4665
4695;4731
4761;4797
4827;4863
4893;4929
4959;4995
5025;5061
5091;5127
