1000;1029
1061;1090
1122;1151
1183;1212
1244;1273
1305;1334
1366;1395
1427;1456
1488;1517
1549;1578
1610;1639
1671;1700
1732;1761
1793;1822
1854;1883
1915;1944
1976;2005
2037;2066
2098;2127
2159;2188
2220;2249
2281;2310
2342;2371
2403;2432
2464;2493
2525;2554
2586;2615
2647;2676
2708;2737
2769;2798
2830;2859
2891;2920
2952;2981
3013;3042
3074;3103
3135;3164
3196;3225
3257;3286
3318;3347
3379;3408
3440;3469
3501;3530
3562;3591
3623;3652
3684;3713
3745;3774
3806;3835
3867;3896
3928;3957
3989;4018
4050;4079
4111;4140
4172;4201
4233;4262
4294;4323
4355;4384
4416;4445
4477;4506
4538;4567
4599;4628
4660;4689
